Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
0,true,-227.300067,-32.335334,-76.114726,-118.850007,19.050000,72.390000,NaN,NaN
100,true,-299.765128,-48.801725,-113.420186,-137.543218,15.148066,49.933786,0.395208,1.000000
200,true,-349.596876,-69.606903,-138.378978,-141.610995,13.639506,41.537402,0.429607,1.000000
300,true,-385.598252,-90.121467,-152.667898,-142.808887,10.724166,35.189090,0.068802,0.721310
400,true,-423.769833,-126.657531,-160.754154,-136.358148,9.779502,29.654133,0.177202,1.000000
500,true,-454.221310,-150.656916,-165.736919,-137.827475,9.002412,23.917533,0.155064,0.931953
600,false,-465.794557,-160.279324,-166.104853,-139.410380,8.758465,24.491729,0.685285,0.601624
700,false,-465.253962,-160.807402,-162.659374,-141.787186,8.656357,25.970860,0.834741,0.012455
800,false,-477.779846,-175.134142,-163.806556,-138.839148,8.375707,21.043931,0.959409,0.000008
900,true,-505.927458,-201.960956,-163.193550,-140.772952,7.478970,19.523726,0.112471,0.258976
1000,false,-528.611690,-220.652103,-165.547040,-142.412546,6.702028,17.075092,0.904629,0.018670
1100,false,-531.284891,-223.957592,-165.853338,-141.473960,6.595189,17.659003,0.015851,0.004631
1200,false,-543.352289,-238.500470,-164.129463,-140.722356,6.222180,15.481070,0.807765,0.067037
1300,false,-557.528392,-249.333683,-166.552849,-141.641860,6.213348,16.264361,0.735912,0.398436
1400,false,-563.540748,-258.081700,-163.898172,-141.560877,5.984331,15.195090,0.511087,0.086214
1500,false,-563.490807,-255.138218,-165.603458,-142.749132,6.037968,15.937988,0.208991,0.005940
1600,true,-560.690462,-249.626340,-168.005910,-143.058212,6.057170,16.229062,0.777388,0.788990
1700,true,-566.083606,-255.362593,-169.429208,-141.291804,6.069007,15.781053,0.640022,0.825435
1800,false,-570.665420,-259.922510,-168.740047,-142.002864,6.077472,16.278770,0.346477,0.003598
1900,false,-565.824844,-252.003691,-171.330387,-142.490767,6.305156,16.888845,0.467227,0.000000
2000,false,-572.168819,-261.632517,-167.864427,-142.671875,6.211315,17.445575,0.183073,0.000000
2100,true,-574.622613,-261.366074,-170.612864,-142.643676,6.163513,16.227392,0.268208,1.000000
2200,false,-578.502841,-265.098111,-170.738497,-142.666233,6.146523,17.171205,0.416104,0.000000
2300,true,-584.914181,-272.719425,-169.904304,-142.290452,6.007270,15.880522,0.107457,1.000000
2400,true,-580.362898,-268.906353,-168.649610,-142.806935,6.019717,14.839128,0.469412,0.725513
2500,false,-576.800792,-267.903643,-166.977298,-141.919852,6.169344,16.237229,0.825262,0.000000
2600,true,-578.791149,-271.358520,-165.725329,-141.707300,6.117794,15.845617,0.883873,1.651713
