Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
0,true,-211.873812,-16.909079,-76.114726,-118.850007,19.050000,72.390000,NaN,NaN
100,true,-296.316739,-29.023745,-128.032439,-139.260555,13.527824,40.548177,0.280855,1.634360
200,false,-357.748100,-82.960405,-136.167932,-138.619764,7.613738,6.298120,0.867300,0.774069
300,true,-389.152851,-111.683190,-136.372148,-141.097514,6.967874,7.918015,0.912197,1.000000
400,false,-397.033420,-115.500024,-140.498199,-141.035198,7.008328,8.432436,0.384169,0.000000
500,false,-406.010821,-122.667902,-141.569587,-141.773332,6.904166,9.473074,0.982275,0.003038
600,true,-404.099400,-121.392909,-141.113619,-141.592871,6.880561,9.378625,0.343683,0.473920
700,false,-406.355054,-123.330733,-141.833992,-141.190329,6.829118,9.261697,0.993343,0.369125
800,false,-406.730330,-123.211213,-142.449403,-141.069714,6.918545,8.744829,0.375512,0.000000
900,false,-405.984332,-122.044534,-142.347616,-141.592182,6.889180,9.449306,0.556972,0.001200
1000,false,-406.806986,-123.905488,-140.696822,-142.204676,6.884751,9.183628,0.441776,0.000000
1100,true,-403.354886,-115.963372,-143.045235,-144.346280,6.995391,10.379471,0.587383,1.000000
1200,false,-402.931408,-118.500749,-142.074491,-142.356167,6.973349,11.866373,0.962010,0.000000
1300,false,-405.016294,-119.644782,-142.693379,-142.678133,6.876316,9.860749,0.233053,0.021159
1400,false,-402.982644,-116.528884,-142.997340,-143.456419,6.916639,10.299193,0.426420,0.000000
1500,false,-405.188267,-119.445431,-142.811400,-142.931435,6.934210,8.959764,0.046611,0.031192
1600,false,-404.356320,-118.114450,-144.008153,-142.233717,6.930410,7.510674,0.997411,0.000000
1700,false,-405.202539,-117.823002,-144.531148,-142.848388,6.831979,7.674093,0.893006,0.000000
1800,false,-402.211418,-119.559140,-144.019870,-138.632409,6.921206,9.688440,0.599401,0.003501
1900,false,-401.969387,-115.133782,-145.000192,-141.835412,6.997470,9.700192,0.095961,0.000000
2000,false,-407.465612,-119.191442,-145.425270,-142.848900,6.976072,7.557207,0.996920,0.000000
2100,true,-407.871794,-118.239038,-147.801661,-141.831095,6.950019,9.790408,0.322714,0.424523
2200,true,-408.704544,-120.195815,-146.957757,-141.550972,6.963215,8.914685,0.360976,1.000000
2300,false,-408.035839,-120.055959,-146.807042,-141.172838,6.921228,9.961363,0.707027,0.000000
2400,false,-405.524722,-118.305530,-145.644517,-141.574674,6.956724,10.316390,0.823723,0.000000
2500,false,-412.737048,-123.525830,-145.182032,-144.029186,6.975697,9.379440,0.710489,0.001872
2600,false,-408.756288,-119.888715,-144.852063,-144.015510,7.020044,9.366443,0.521391,0.000000
2700,false,-408.061593,-119.810016,-145.794288,-142.457289,7.086129,9.549654,0.222090,0.000000
2800,false,-413.259396,-121.516915,-147.108067,-144.634415,7.000660,9.841499,0.625511,0.000000
2900,false,-404.904802,-116.431730,-147.056124,-141.416948,7.050561,9.383161,0.396087,0.000000
3000,false,-403.436122,-120.196038,-142.467187,-140.772897,6.997259,11.473458,0.862410,0.000045
3100,false,-405.016475,-123.425032,-141.272964,-140.318479,6.987907,9.239913,0.728139,0.022566
3200,false,-402.900764,-120.823358,-142.031487,-140.045919,6.938714,9.407210,0.021000,0.000007
3300,false,-401.140936,-120.436885,-142.589839,-138.114212,6.700677,9.938272,0.869735,0.000000
3400,true,-405.922877,-122.758260,-143.501518,-139.663099,6.632708,9.762239,0.948835,1.000000
3500,false,-412.352580,-127.782073,-144.825862,-139.744646,6.624005,9.503961,0.680896,0.000000
3600,true,-413.767895,-129.627969,-144.879539,-139.260387,6.582245,9.195398,0.536459,1.431578
3700,true,-409.951674,-125.561784,-144.027870,-140.362019,6.675013,9.683397,0.021157,0.427645
3800,false,-412.566978,-130.556663,-144.278944,-137.731370,6.566176,9.401970,0.190031,0.000000
3900,false,-411.012427,-126.630919,-144.579226,-139.802282,6.534659,9.401454,0.778839,0.000179
