Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
0,true,-487.268801,-172.422446,-167.978108,-146.868247,5.923228,11.181832,NaN,NaN
100,false,-478.688954,-167.061277,-166.317150,-145.310528,6.034388,12.600723,0.227197,0.000000
200,true,-481.439823,-169.788814,-165.376956,-146.274053,5.958005,11.447956,0.612738,2.653280
300,false,-481.295737,-168.313496,-167.680156,-145.302085,6.059309,11.545113,0.490372,0.000004
400,false,-475.698847,-165.895134,-166.664846,-143.138867,6.004417,10.168916,0.334624,0.000000
500,false,-477.980564,-168.395716,-165.561370,-144.023478,6.088106,10.696488,0.118219,0.000000
600,false,-473.242299,-162.329370,-167.102450,-143.810479,6.149877,11.476174,0.618634,0.000000
700,false,-473.554747,-165.943554,-166.000689,-141.610504,6.069962,10.604385,0.676847,0.360571
800,false,-477.155383,-168.941716,-165.672244,-142.541422,6.117346,11.032359,0.607523,0.000003
900,false,-475.770008,-162.833796,-168.714877,-144.221335,6.006233,10.734780,0.209839,0.000000
1000,false,-479.219649,-167.769415,-167.110105,-144.340130,6.078258,10.710719,0.078181,0.000000
1100,true,-469.144441,-162.779158,-165.672671,-140.692612,6.030148,14.448386,0.161924,0.255614
1200,true,-458.665793,-158.737399,-163.395244,-136.533150,6.064571,12.993248,0.773512,1.000000
1300,false,-458.680683,-158.443599,-163.580701,-136.656383,6.136035,11.843312,0.494064,0.281980
1400,false,-460.748555,-159.769401,-165.540921,-135.438233,6.097351,9.203321,0.675718,0.000000
1500,false,-463.989457,-160.212873,-166.015372,-137.761212,6.110076,9.869727,0.489936,0.000000
1600,false,-462.127604,-159.970234,-164.742991,-137.414380,6.120090,10.764534,0.720988,0.000000
1700,false,-458.898945,-156.912488,-164.384621,-137.601837,6.154782,12.159908,0.753830,0.000000
1800,true,-457.677724,-151.176537,-166.279507,-140.221680,6.317746,11.536347,0.455601,1.103681
1900,true,-462.888769,-156.427987,-166.440773,-140.020009,6.119961,11.593740,0.899951,8.390508
2000,false,-469.633995,-163.519542,-165.751322,-140.363132,6.137611,13.043327,0.133425,0.086897
2100,false,-471.028726,-167.732614,-165.239454,-138.056658,6.082537,11.127596,0.433119,0.000000
2200,false,-461.020039,-159.470276,-164.393737,-137.156026,6.177596,12.707952,0.754826,0.017925
2300,false,-470.025073,-167.350964,-163.692527,-138.981583,6.015515,12.395350,0.320891,0.001412
