r [Å],U
4.022,198.67520442895926
4.0440000000000005,183.78582343868484
4.066000000000001,169.98660461463083
4.088000000000001,157.19508040738367
4.110000000000001,145.3353275448023
4.1320000000000014,134.3374202149623
4.154,124.1369313480117
4.176,114.67447755028235
4.198,105.89530367516019
4.220000000000001,97.74890340257555
4.242000000000001,90.18867254729574
4.264000000000001,83.17159212947064
4.286000000000001,76.6579385228773
4.308,70.61101825023654
4.33,64.99692522377048
4.352,59.78431843544112
4.3740000000000006,54.9442182873332
4.396000000000001,50.449819920560145
4.418000000000001,46.27632205264427
4.440000000000001,42.40076997028113
4.462,38.80191144816479
4.484,35.460064476479914
4.506,32.35699578093743
4.5280000000000005,29.47580921087798
4.550000000000001,26.80084315399459
4.572000000000001,24.31757621142522
4.594000000000001,22.012540435150363
4.616000000000001,19.8732414914585
4.638,17.888085170344713
4.66,16.046309711633274
4.682,14.337923464864485
4.704000000000001,12.753647442003743
4.726000000000001,11.28486236023071
4.748000000000001,9.923559806797089
4.770000000000001,8.6622971895453
4.792,7.494156165440113
4.814,6.412704265657303
4.836,5.4119594596314435
4.8580000000000005,4.486357422204974
4.880000000000001,3.630721287847729
4.902000000000001,2.8402336939937323
4.924000000000001,2.110410932042779
4.946,1.437079039631941
4.968,0.8163516815372018
4.99,0.24460967912955933
5.0120000000000005,-0.2815179402086665
5.034000000000001,-0.7651714918008246
5.056000000000001,-1.2092768890183359
5.078000000000001,-1.6165607049542041
5.100000000000001,-1.9895641320907353
5.122,-2.3306559242606784
5.144,-2.642044398454979
5.166,-2.925788567848635
5.188000000000001,-3.183808471750229
5.210000000000001,-3.417894762983471
5.232000000000001,-3.6297176084429084
5.254000000000001,-3.8208349541909103
5.276,-3.9927002024477387
5.298,-4.146669344138508
5.32,-4.284007587272965
5.3420000000000005,-4.405895518321504
5.364000000000001,-4.513434830888297
5.386000000000001,-4.6076536533514245
5.408000000000001,-4.689511504718858
5.43,-4.759903905721732
5.452,-4.819666670116033
5.474,-4.869579899275785
5.496,-4.910371701422119
5.518000000000001,-4.9427216552302795
5.540000000000001,-4.967264036080097
5.562000000000001,-4.984590821854122
5.584000000000001,-4.995254493932118
5.606,-4.999770647872475
5.628,-4.998620427202363
5.65,-4.992252792751999
5.672000000000001,-4.981086639057443
5.694000000000001,-4.965512768515189
5.716000000000001,-4.945895733194482
5.738000000000001,-4.922575553495104
5.76,-4.89586932217435
5.782,-4.86607270165301
5.804,-4.833461321942326
5.8260000000000005,-4.798292086008449
5.848000000000001,-4.7608043889048615
5.870000000000001,-4.721221256553026
5.892000000000001,-4.679750409634906
5.914,-4.636585257674974
5.936,-4.591905828031716
5.958,-4.545879634187423
5.98,-4.49866248741772
6.002000000000001,-4.450399255637692
6.024000000000001,-4.401224572957276
6.046000000000001,-4.351263503233643
6.068000000000001,-4.300632160680994
6.09,-4.249438290387228
6.112,-4.197781811391036
6.134,-4.145755324791333
6.156000000000001,-4.093444589191741
6.178000000000001,-4.040928965626231
6.200000000000001,-3.9882818339660453
6.222000000000001,-3.9355709826726306
6.244,-3.88285897363526
6.266,-3.8302034837149455
6.288,-3.7776576245073032
6.3100000000000005,-3.7252702417356334
6.332000000000001,-3.6730861955912166
6.354000000000001,-3.62114662325006
6.376000000000001,-3.5694891847136274
6.398,-3.518148293045006
6.42,-3.467155330001079
6.442,-3.4165388479954295
6.464,-3.3663247592649874
6.486000000000001,-3.316536513056367
6.508000000000001,-3.267195261594261
6.530000000000001,-3.218320015544619
6.552,-3.169927789638773
6.574,-3.122033739081489
6.596,-3.0746512873255316
6.618,-3.02779224575752
6.640000000000001,-2.981466925804885
6.662000000000001,-2.9356842439407633
6.684000000000001,-2.890451820033108
6.706000000000001,-2.84577606945565
6.728,-2.801662289351668
6.75,-2.758114739416517
6.772,-2.715136717541633
6.7940000000000005,-2.6727306306408547
6.816000000000001,-2.6308980609596304
6.838000000000001,-2.589639828148621
6.860000000000001,-2.548956047365386
6.882,-2.5088461836513067
6.904,-2.469309102815198
6.926,-2.4303431190406988
6.948,-2.391946039420744
6.970000000000001,-2.354115205609797
6.992000000000001,-2.316847532772592
7.014,-2.280139545996947
7.0360000000000005,-2.2439874143277896
7.058000000000001,-2.208386982569798
7.08,-2.173333800996848
7.102,-2.1388231530979134
7.1240000000000006,-2.1048500814810875
7.146000000000001,-2.0714094120497757
7.168,-2.0384957765581673
7.19,-2.0061036336464126
7.212000000000001,-1.9742272884498113
7.234000000000001,-1.9428609108704686
7.256,-1.9119985525944694
7.2780000000000005,-1.8816341629325106
7.300000000000001,-1.8517616035571847
7.322,-1.822374662205569
7.344,-1.7934670654116411
7.3660000000000005,-1.7650324903290482
7.388000000000001,-1.737064575701091
7.41,-1.7095569320312929
7.432,-1.6825031510046844
7.454000000000001,-1.6558968142068984
7.476000000000001,-1.629731501185234
7.498,-1.604000796893249
7.5200000000000005,-1.578698298557849
7.542000000000001,-1.553817622005498
7.564,-1.529352407481952
7.586,-1.5052963249977842
7.6080000000000005,-1.481643079230105
7.630000000000001,-1.4583864140089
7.652,-1.435520116414806
7.674,-1.413038020513441
7.696000000000001,-1.3909340107499002
7.718000000000001,-1.3692020250256038
7.74,-1.3478360574783022
7.7620000000000005,-1.3268301609848276
7.784000000000001,-1.3061784494049427
7.806,-1.2858750995835435
7.828,-1.265914353127405
7.8500000000000005,-1.2462905179717074
7.872000000000001,-1.2269979697505944
7.894,-1.2080311529851937
7.916,-1.1893845821016797
7.938000000000001,-1.1710528422911983
7.960000000000001,-1.1530305902227465
7.982,-1.1353125546194112
8.004000000000001,-1.1178935367077458
8.026,-1.1007684105494535
8.048,-1.0839321232639483
8.07,-1.0673796951499084
8.092,-1.05110621971335
8.114,-1.0351068636093306
8.136,-1.019376866503938
8.158000000000001,-1.0039115408627857
8.18,-0.9887062716718974
8.202,-0.9737565160963862
8.224,-0.9590578030821475
8.246,-0.9446057329052939
8.268,-0.9303959766738725
8.29,-0.9164242757860688
8.312000000000001,-0.9026864413488171
8.334,-0.8891783535605459
8.356000000000002,-0.8758959610614435
8.378,-0.8628352802545364
8.4,-0.8499923946005208
